idx,metrics,AD_type,y_pred,y_true
552,3.0313249,OAD,63.685947,68.0
553,7.6502323,OAD,55.429993,96.0
554,5.4016914,OAD,62.54724,96.0
555,7.1298447,OAD,57.4824,96.0
556,8.6056385,OAD,50.867043,98.0
557,5.2386575,OAD,60.28095,97.0
558,6.0689597,OAD,63.608456,98.0
559,7.0926566,OAD,63.162754,98.0
560,2.2549496,OAD,67.221954,99.0
561,1.9924569,IAD,70.202034,98.0
562,8.680276,OAD,64.89222,90.0
563,7.36257,OAD,62.619556,87.0
564,5.3191905,OAD,54.005188,86.0
565,5.127355,OAD,58.076824,92.0
566,3.4633482,OAD,61.51945,83.0
567,4.445712,OAD,61.628017,90.0
568,7.0994897,OAD,62.3234,87.0
569,3.551771,OAD,70.64775,99.0
570,6.3147297,OAD,54.6594,78.0
571,5.7928505,OAD,56.856327,80.0
572,6.5578775,OAD,52.78963,78.0
573,5.4742727,OAD,58.44829,69.0
574,5.0531883,OAD,62.23841,65.0
575,5.638962,OAD,67.207825,75.0
576,4.2295766,OAD,66.348656,87.0
577,4.2293744,OAD,62.443607,85.0
578,5.580058,OAD,57.85168,82.0
579,6.773698,OAD,50.47761,80.0
580,6.1700063,OAD,56.67233,67.0
581,5.0733733,OAD,64.37367,76.0
582,7.5026026,OAD,64.06746,90.0
583,3.405038,OAD,60.620605,86.0
584,9.033428,OAD,56.843693,76.0
585,5.07207,OAD,64.91446,95.0
586,6.445028,OAD,68.56902,97.0
587,5.8217773,OAD,64.92256,92.0
588,4.535748,OAD,68.79286,94.0
589,4.048243,OAD,70.63069,96.0
590,3.9409149,OAD,65.71659,90.0
591,5.7684307,OAD,61.621716,85.0
592,4.731297,OAD,65.19465,82.0
593,4.577603,OAD,70.67181,76.0
594,3.8302047,OAD,69.93392,78.0
595,4.2695894,OAD,71.882164,74.0
596,3.0333016,OAD,71.44786,77.0
597,5.3901362,OAD,37.644707,90.0
598,4.3254848,OAD,60.47476,97.0
599,1.533981,IAD,52.792637,94.0
600,6.0206385,OAD,36.81625,89.0
601,3.354578,OAD,58.060272,96.0
602,5.323473,OAD,52.85548,92.0
603,5.019572,OAD,52.501633,94.0
604,3.1993082,OAD,55.351295,95.0
605,5.1620173,OAD,54.98995,83.0
606,4.6488914,OAD,55.92767,85.0
607,3.9212065,OAD,51.40613,80.0
608,4.3059154,OAD,53.354446,86.0
609,3.9732215,OAD,55.413395,78.0
610,4.9769716,OAD,53.73043,73.0
611,3.966161,OAD,50.41685,76.0
612,7.9539323,OAD,41.498817,91.0
613,7.6839776,OAD,48.187843,89.0
614,6.021061,OAD,43.669483,0.0
615,7.6094055,OAD,51.849167,80.0
616,4.069219,OAD,59.637466,82.0
617,4.889473,OAD,66.709236,94.0
618,6.114634,OAD,47.328014,0.0
619,3.7692645,OAD,51.108833,72.0
620,7.8460526,OAD,56.85144,95.0
621,7.022622,OAD,41.014477,94.0
622,5.8913274,OAD,58.515842,26.0
623,7.4318113,OAD,62.67414,91.0
624,4.688694,OAD,67.60125,78.0
625,4.0631003,OAD,67.88831,100.0
626,4.40252,OAD,70.894714,100.0
627,3.6897342,OAD,49.154858,97.0
628,4.7990746,OAD,39.308334,86.0
629,4.6476307,OAD,41.16294,62.0
630,6.275173,OAD,50.507996,64.0
631,5.925442,OAD,53.415348,81.0
632,2.7182758,OAD,68.55609,70.0
633,3.0755565,OAD,71.069496,91.0
634,3.4608474,OAD,74.16686,97.0
635,2.886712,OAD,68.16757,83.0
636,3.2902274,OAD,72.74432,91.0
637,3.2902274,OAD,72.74432,85.0
638,4.1436443,OAD,53.036156,90.0
639,4.3237863,OAD,53.754406,73.0
640,5.8934007,OAD,53.60497,71.0
641,5.54371,OAD,57.226654,0.0
642,5.2969213,OAD,55.905968,64.0
643,5.6437426,OAD,55.797825,87.0
644,3.6439006,OAD,50.69639,85.0
645,3.6141236,OAD,55.484177,75.0
646,4.950082,OAD,61.831013,95.0
647,2.589754,OAD,65.40993,95.0
648,1.7796199,IAD,70.7522,100.0
649,2.0251417,OAD,68.06457,80.0
650,3.9636185,OAD,69.996315,87.0
651,2.8514805,OAD,72.465546,97.0
652,2.0803194,OAD,72.12591,99.0
653,3.5852084,OAD,60.915855,95.0
654,3.3063557,OAD,57.790886,74.0
655,4.2462945,OAD,54.394196,71.0
656,3.768712,OAD,43.04936,100.0
657,3.5266829,OAD,64.93666,99.0
658,3.675145,OAD,69.681046,83.0
659,2.7238839,OAD,70.63844,90.0
660,3.0746372,OAD,62.117695,100.0
661,4.1906524,OAD,68.54372,97.0
662,4.1742883,OAD,57.318424,95.0
663,2.9560761,OAD,78.09882,100.0
664,5.057659,OAD,79.95274,44.0
665,3.7670279,OAD,79.79306,84.0
666,2.5185342,OAD,84.69677,87.0
667,3.6312444,OAD,84.43918,88.0
668,2.1265538,OAD,79.21456,93.0
669,5.874705,OAD,42.761154,82.0
670,8.541528,OAD,80.03383,89.0
